date,description,amount,category
2024-01-01,Property Mgmt,1336.32,Housing
2024-01-01,Metro Transit,120.74,Transport
2024-01-01,Property Mgmt,2370.35,Housing
2024-01-01,Water Utility,240.88,Utilities
2024-01-01,Monthly Rent,1221.15,Housing
2024-01-01,Starbucks,167.92,Dining
2024-01-01,Shell,70.31,Transport
2024-01-02,Uber,99.37,Transport
2024-01-02,Health Insurance,61.1,Healthcare
2024-01-02,Amazon,248.93,Shopping
2024-01-02,AMC Theatres,30.38,Entertainment
2024-01-02,Udemy,1140.71,Education
2024-01-02,Electricity Board,291.08,Utilities
2024-01-02,Monthly Rent,1055.9,Housing
2024-01-02,Bookstore,1234.8,Education
2024-01-02,Whole Foods,128.61,Groceries
2024-01-02,Chipotle,39.29,Dining
2024-01-02,Macy's,761.2,Shopping
2024-01-02,Monthly Rent,1214.69,Housing
2024-01-02,Health Insurance,859.93,Healthcare
2024-01-02,Udemy,1274.48,Education
2024-01-03,Costco,130.48,Groceries
2024-01-03,Property Mgmt,2376.42,Housing
2024-01-03,Electricity Board,91.75,Utilities
2024-01-03,Olive Garden,14.75,Dining
2024-01-03,Chipotle,35.75,Dining
2024-01-03,Housing Society,1873.85,Housing
2024-01-03,Marriott,1617.55,Travel
2024-01-03,Gas Provider,125.25,Utilities
2024-01-03,Health Insurance,354.0,Healthcare
2024-01-03,Spotify,43.25,Entertainment
2024-01-03,Coursera,314.51,Education
2024-01-03,Monthly Rent,956.51,Housing
2024-01-03,LabCorp,1157.25,Healthcare
2024-01-03,Walmart,76.88,Groceries
2024-01-03,Macy's,98.43,Shopping
2024-01-04,Delta Airlines,411.2,Travel
2024-01-04,Target,329.8,Shopping
2024-01-04,Chipotle,10.88,Dining
2024-01-04,Netflix,144.6,Entertainment
2024-01-04,Target,196.01,Shopping
2024-01-04,Macy's,180.15,Shopping
2024-01-04,Water Utility,166.73,Utilities
2024-01-04,Booking.com,11518.35,Travel
2024-01-04,Booking.com,2814.43,Travel
2024-01-04,Housing Society,2524.83,Housing
2024-01-05,Housing Society,1976.59,Housing
2024-01-05,Monthly Rent,2347.12,Housing
2024-01-05,Walmart,222.91,Groceries
2024-01-05,Costco,104.16,Groceries
2024-01-05,Shell,117.38,Transport
2024-01-05,Airbnb,261.55,Travel
2024-01-05,Marriott,2743.76,Travel
2024-01-05,Udemy,335.53,Education
2024-01-05,Exam Board,874.05,Education
2024-01-05,Marriott,2126.16,Travel
2024-01-05,Housing Society,1780.95,Housing
2024-01-06,Chipotle,149.02,Dining
2024-01-06,AMC Theatres,252.71,Entertainment
2024-01-06,Water Utility,184.45,Utilities
2024-01-06,Delta Airlines,3170.26,Travel
2024-01-06,LabCorp,1352.86,Healthcare
2024-01-06,LabCorp,641.87,Healthcare
2024-01-06,McDonald's,75.95,Dining
2024-01-06,Electricity Board,38.61,Utilities
2024-01-06,Comcast,72.97,Utilities
2024-01-06,Delta Airlines,609.27,Travel
2024-01-07,Starbucks,308.28,Dining
2024-01-07,Shell,45.29,Transport
2024-01-07,Netflix,210.58,Entertainment
2024-01-07,Property Mgmt,2496.44,Housing
2024-01-07,Housing Society,2366.19,Housing
2024-01-07,City Clinic,785.31,Healthcare
2024-01-07,Monthly Rent,902.94,Housing
2024-01-07,Amazon,544.79,Shopping
2024-01-07,Netflix,23.96,Entertainment
2024-01-07,Spotify,101.79,Entertainment
2024-01-07,Housing Society,1886.08,Housing
2024-01-07,City Clinic,717.2,Healthcare
2024-01-07,Marriott,3396.83,Travel
2024-01-07,Property Mgmt,6942.7,Housing
2024-01-08,Metro Transit,129.19,Transport
2024-01-08,Metro Transit,56.84,Transport
2024-01-08,Airbnb,1030.26,Travel
2024-01-08,LabCorp,268.7,Healthcare
2024-01-08,AMC Theatres,207.95,Entertainment
2024-01-08,Comcast,76.1,Utilities
2024-01-08,Exam Board,340.44,Education
2024-01-08,Spotify,234.77,Entertainment
2024-01-08,Bookstore,766.31,Education
2024-01-08,CVS Pharmacy,1117.02,Healthcare
2024-01-09,Netflix,102.05,Entertainment
2024-01-09,Property Mgmt,1385.8,Housing
2024-01-09,Costco,83.56,Groceries
2024-01-09,Property Mgmt,1924.78,Housing
2024-01-09,Walmart,256.68,Groceries
2024-01-09,Shell,164.31,Transport
2024-01-09,Whole Foods,59.9,Groceries
2024-01-09,Coursera,1714.24,Education
2024-01-09,Booking.com,2193.87,Travel
2024-01-09,Starbucks,38.7,Dining
2024-01-09,AMC Theatres,85.34,Entertainment
2024-01-09,Metro Transit,84.94,Transport
2024-01-10,Costco,213.15,Groceries
2024-01-10,Housing Society,2491.51,Housing
2024-01-10,Booking.com,629.85,Travel
2024-01-10,Macy's,609.65,Shopping
2024-01-10,Booking.com,873.12,Travel
2024-01-10,City Clinic,774.79,Healthcare
2024-01-11,Macy's,361.28,Shopping
2024-01-11,Macy's,606.42,Shopping
2024-01-11,Walmart,266.5,Groceries
2024-01-11,Lyft,64.82,Transport
2024-01-11,Trader Joe's,165.2,Groceries
2024-01-11,Whole Foods,64.3,Groceries
2024-01-11,LabCorp,1237.66,Healthcare
2024-01-12,Shell,99.18,Transport
2024-01-12,Target,324.82,Shopping
2024-01-12,Macy's,342.91,Shopping
2024-01-12,Property Mgmt,1424.25,Housing
2024-01-12,Property Mgmt,1875.96,Housing
2024-01-12,Electricity Board,73.95,Utilities
2024-01-12,Property Mgmt,1465.17,Housing
2024-01-12,LabCorp,129.64,Healthcare
2024-01-12,Gas Provider,230.04,Utilities
2024-01-13,Whole Foods,81.94,Groceries
2024-01-13,Lyft,17.72,Transport
2024-01-13,Electricity Board,202.04,Utilities
2024-01-13,Lyft,33.9,Transport
2024-01-13,Udemy,345.43,Education
2024-01-13,Metro Transit,111.27,Transport
2024-01-13,Health Insurance,623.32,Healthcare
2024-01-13,Health Insurance,83.14,Healthcare
2024-01-13,Trader Joe's,185.68,Groceries
2024-01-13,Shell,176.91,Transport
2024-01-13,Costco,193.71,Groceries
2024-01-13,Udemy,725.73,Education
2024-01-13,Property Mgmt,1685.3,Housing
2024-01-13,Target,270.18,Shopping
2024-01-13,Olive Garden,139.33,Dining
2024-01-14,Shell,149.65,Transport
2024-01-14,Delta Airlines,2746.68,Travel
2024-01-15,CVS Pharmacy,1222.17,Healthcare
2024-01-15,Amazon,247.98,Shopping
2024-01-15,Airbnb,1928.77,Travel
2024-01-15,Amazon,130.57,Shopping
2024-01-15,Metro Transit,39.02,Transport
2024-01-15,Health Insurance,1099.47,Healthcare
2024-01-15,Property Mgmt,1182.82,Housing
2024-01-15,McDonald's,14.56,Dining
2024-01-15,Water Utility,217.54,Utilities
2024-01-15,Steam,159.47,Entertainment
2024-01-15,Gas Provider,293.44,Utilities
2024-01-15,Property Mgmt,1608.72,Housing
2024-01-15,Bookstore,1369.97,Education
2024-01-16,Amazon,776.3,Shopping
2024-01-16,Whole Foods,81.72,Groceries
2024-01-16,Gas Provider,54.56,Utilities
2024-01-16,Water Utility,183.88,Utilities
2024-01-16,Booking.com,2890.16,Travel
2024-01-16,Bookstore,1138.09,Education
2024-01-16,Netflix,110.42,Entertainment
2024-01-16,Water Utility,53.57,Utilities
2024-01-16,Shell,16.92,Transport
2024-01-16,CVS Pharmacy,220.08,Healthcare
2024-01-16,Property Mgmt,1111.96,Housing
2024-01-17,Delta Airlines,354.22,Travel
2024-01-17,City Clinic,30.72,Healthcare
2024-01-17,Whole Foods,100.16,Groceries
2024-01-17,Exam Board,291.56,Education
2024-01-17,Olive Garden,115.51,Dining
2024-01-17,Udemy,1221.19,Education
2024-01-17,Coursera,985.68,Education
2024-01-17,Property Mgmt,1931.02,Housing
2024-01-17,Udemy,1342.24,Education
2024-01-18,Airbnb,2925.64,Travel
2024-01-18,Bookstore,122.68,Education
2024-01-18,Housing Society,1021.2,Housing
2024-01-18,Lyft,85.62,Transport
2024-01-18,Costco,67.23,Groceries
2024-01-18,Coursera,905.05,Education
2024-01-18,Target,471.91,Shopping
2024-01-18,Water Utility,185.12,Utilities
2024-01-18,City Clinic,887.09,Healthcare
2024-01-18,Electricity Board,301.26,Utilities
2024-01-18,Costco,269.54,Groceries
2024-01-18,Health Insurance,1036.54,Healthcare
2024-01-19,CVS Pharmacy,1203.38,Healthcare
2024-01-19,Electricity Board,239.07,Utilities
2024-01-19,Chipotle,205.04,Dining
2024-01-19,Uber,45.77,Transport
2024-01-19,Electricity Board,217.15,Utilities
2024-01-19,Property Mgmt,8477.02,Housing
2024-01-19,Property Mgmt,2515.66,Housing
2024-01-19,Booking.com,2710.66,Travel
2024-01-19,Exam Board,1733.5,Education
2024-01-19,Lyft,176.58,Transport
2024-01-19,Macy's,79.86,Shopping
2024-01-19,Gas Provider,217.09,Utilities
2024-01-20,Property Mgmt,1277.01,Housing
2024-01-20,Chipotle,102.89,Dining
2024-01-20,Udemy,1498.68,Education
2024-01-20,AMC Theatres,83.67,Entertainment
2024-01-20,City Clinic,1314.87,Healthcare
2024-01-20,Shell,38.1,Transport
2024-01-20,Exam Board,101.93,Education
2024-01-20,Walmart,225.67,Groceries
2024-01-20,Olive Garden,28.67,Dining
2024-01-20,Marriott,864.49,Travel
2024-01-20,Starbucks,84.53,Dining
2024-01-20,Housing Society,2069.49,Housing
2024-01-21,Health Insurance,259.08,Healthcare
2024-01-21,Electricity Board,171.01,Utilities
2024-01-21,AMC Theatres,171.24,Entertainment
2024-01-21,McDonald's,81.83,Dining
2024-01-21,Property Mgmt,1407.51,Housing
2024-01-21,Udemy,888.74,Education
2024-01-21,Health Insurance,1336.81,Healthcare
2024-01-21,Marriott,1564.64,Travel
2024-01-21,Shell,128.99,Transport
2024-01-21,Walmart,114.63,Groceries
2024-01-21,Costco,118.79,Groceries
2024-01-21,Best Buy,396.39,Shopping
2024-01-21,Gas Provider,242.94,Utilities
2024-01-21,Macy's,655.92,Shopping
2024-01-21,Gas Provider,218.55,Utilities
2024-01-21,Lyft,126.62,Transport
2024-01-21,CVS Pharmacy,191.19,Healthcare
2024-01-21,Whole Foods,113.08,Groceries
2024-01-21,Monthly Rent,1806.82,Housing
2024-01-21,Monthly Rent,2593.74,Housing
2024-01-21,AMC Theatres,185.59,Entertainment
2024-01-21,CVS Pharmacy,1256.77,Healthcare
2024-01-22,Delta Airlines,2803.1,Travel
2024-01-22,Chipotle,17.01,Dining
2024-01-22,Amazon,381.5,Shopping
2024-01-22,Bookstore,157.57,Education
2024-01-22,Spotify,51.45,Entertainment
2024-01-22,Metro Transit,173.35,Transport
2024-01-23,Uber,106.96,Transport
2024-01-23,Amazon,95.08,Shopping
2024-01-23,Udemy,930.48,Education
2024-01-23,Coursera,860.28,Education
2024-01-23,Steam,52.43,Entertainment
2024-01-23,Booking.com,1023.1,Travel
2024-01-23,AMC Theatres,164.72,Entertainment
2024-01-23,Udemy,1390.33,Education
2024-01-23,Steam,54.85,Entertainment
2024-01-23,Marriott,2432.72,Travel
2024-01-23,Delta Airlines,861.14,Travel
2024-01-23,Delta Airlines,117.45,Travel
2024-01-23,Metro Transit,48.17,Transport
2024-01-23,Netflix,214.85,Entertainment
2024-01-23,Trader Joe's,168.25,Groceries
2024-01-23,Exam Board,280.98,Education
2024-01-24,Shell,126.0,Transport
2024-01-24,Amazon,175.78,Shopping
2024-01-24,City Clinic,1262.84,Healthcare
2024-01-24,Macy's,782.05,Shopping
2024-01-24,Airbnb,2054.54,Travel
2024-01-24,Airbnb,701.38,Travel
2024-01-24,Macy's,386.35,Shopping
2024-01-24,Chipotle,139.05,Dining
2024-01-24,Whole Foods,207.54,Groceries
2024-01-24,Netflix,126.75,Entertainment
2024-01-25,Housing Society,2216.84,Housing
2024-01-25,Gas Provider,259.67,Utilities
2024-01-25,Electricity Board,72.05,Utilities
2024-01-26,Costco,21.68,Groceries
2024-01-26,LabCorp,1143.42,Healthcare
2024-01-26,Starbucks,49.53,Dining
2024-01-26,Walmart,252.34,Groceries
2024-01-26,Macy's,649.73,Shopping
2024-01-26,Trader Joe's,150.32,Groceries
2024-01-26,Housing Society,2159.51,Housing
2024-01-26,Metro Transit,92.09,Transport
2024-01-26,Olive Garden,92.98,Dining
2024-01-26,Booking.com,722.24,Travel
2024-01-26,Delta Airlines,2662.43,Travel
2024-01-26,Marriott,373.28,Travel
2024-01-26,Monthly Rent,1267.68,Housing
2024-01-27,LabCorp,125.45,Healthcare
2024-01-27,Coursera,721.39,Education
2024-01-27,Olive Garden,160.65,Dining
2024-01-28,Electricity Board,75.14,Utilities
2024-01-28,Udemy,853.56,Education
2024-01-28,Water Utility,70.03,Utilities
2024-01-28,Shell,66.95,Transport
2024-01-28,Monthly Rent,2141.76,Housing
